kare,sn,ana_sembol,kucuk_burc_1,kucuk_burc_2,ham_ana_sembol,ham_kucuk_burc_1,ham_kucuk_burc_2
kare,sn,yeni_kucuk_burc_1,yeni_kucuk_burc_2,v5_kucuk_burc_1,v5_kucuk_burc_2
0,0.0,1.0,1.0,1.0,1.0
1,0.033,1.0,1.0,1.0,1.0
2,0.067,0.3143,0.3173,0.3161,0.3344
3,0.1,0.3121,0.3181,0.3146,0.3351
4,0.133,0.3146,0.316,0.313,0.3289
5,0.167,0.3138,0.3153,0.3152,0.3296
6,0.2,0.311,0.3169,0.3185,0.336
7,0.233,0.3095,0.3162,0.3149,0.3339
8,0.267,0.3101,0.3162,0.3119,0.3323
9,0.3,0.3094,0.3163,0.3176,0.3322
10,0.333,0.3129,0.3165,0.3177,0.328
11,0.367,0.3124,0.3166,0.3175,0.3283
12,0.4,0.3125,0.3203,0.3138,0.326
13,0.433,0.0717,0.0921,0.3143,0.3281
14,0.467,0.0,0.106,0.3184,0.3323
15,0.5,0.0,0.1022,0.3187,0.3329
16,0.533,0.0547,0.1108,0.319,0.3263
17,0.567,0.107,0.1757,0.3189,0.3281
18,0.6,0.1528,0.2655,0.3195,0.3303
19,0.633,0.1533,0.2569,0.3192,0.3299
20,0.667,0.1587,0.2562,0.3192,0.3362
21,0.7,0.156,0.2566,0.3191,0.3364
22,0.733,0.1587,0.2568,0.3191,0.332
23,0.767,0.1593,0.2559,0.3188,0.3368
24,0.8,0.1617,0.256,0.319,0.337
25,0.833,0.1503,0.258,0.3199,0.3371
26,0.867,0.1596,0.2512,0.3206,0.326
27,0.9,0.1616,0.2529,0.3215,0.3315
28,0.933,0.162,0.2536,0.322,0.3322
29,0.967,0.1627,0.2531,0.3223,0.3314
30,1.0,0.1734,0.254,0.3228,0.332
31,1.033,0.1687,0.2528,0.3233,0.3295
32,1.067,0.166,0.2452,0.3246,0.3315
33,1.1,0.1676,0.2215,0.3221,0.3327
34,1.133,0.1585,0.227,0.3226,0.3313
35,1.167,0.1429,0.2146,0.3239,0.3322
36,1.2,0.1403,0.207,0.3295,0.3338
37,1.233,0.1371,0.2158,0.3289,0.3274
38,1.267,0.093,0.2218,0.3266,0.3285
39,1.3,0.0951,0.2223,0.3288,0.3299
40,1.333,0.0867,0.2279,0.3309,0.3317
41,1.367,0.0628,0.2214,0.3261,0.3411
42,1.4,0.0486,0.16,0.3269,0.3436
43,1.433,0.0463,0.2079,0.3305,0.338
44,1.467,0.0516,0.1987,0.3334,0.3388
45,1.5,0.0203,0.1628,0.3374,0.3197
46,1.533,0.0,0.1688,0.3338,0.3236
47,1.567,0.0367,0.1709,0.3359,0.3333
48,1.6,0.0557,0.2113,0.3314,0.3416
49,1.633,0.0432,0.1836,0.3429,0.3448
50,1.667,0.0603,0.1615,0.3524,0.3421
51,1.7,0.0765,0.1084,0.3431,0.3413
52,1.733,0.0615,0.119,0.348,0.3326
53,1.767,0.1273,0.0986,0.351,0.3511
54,1.8,0.1233,0.0872,0.348,0.362
55,1.833,0.1091,0.0915,0.3636,0.3599
56,1.867,0.1605,0.1163,0.3775,0.3667
57,1.9,0.2045,0.1435,0.3813,0.3767
58,1.933,0.2544,0.1314,0.3707,0.38
59,1.967,0.3032,0.0965,0.3681,0.3694
60,2.0,0.3755,0.0586,0.3536,0.3658
61,2.033,0.4158,0.1688,0.332,0.3857
62,2.067,0.4116,0.1423,0.2927,0.3908
63,2.1,0.3725,0.2429,0.2836,0.3802
64,2.133,0.3692,0.2088,0.29,0.38
65,2.167,0.3788,0.3163,0.2681,0.3827
66,2.2,0.6668,0.3525,0.2713,0.3833
67,2.233,0.726,0.294,0.2589,0.3527
68,2.267,0.7095,0.4931,0.2553,0.3307
69,2.3,0.6722,0.5443,0.263,0.332
70,2.333,0.6431,0.49,0.263,0.3322
71,2.367,0.5866,0.4527,0.2702,0.3235
72,2.4,0.5392,0.4391,0.269,0.3004
73,2.433,0.4928,0.4037,0.2705,0.309
74,2.467,0.4531,0.3493,0.2776,0.3089
75,2.5,0.4037,0.3155,0.2794,0.3112
76,2.533,0.3451,0.2823,0.2835,0.3139
77,2.567,0.315,0.2554,0.2862,0.3151
78,2.6,0.279,0.2259,0.2908,0.3116
79,2.633,0.2449,0.1909,0.2939,0.3115
80,2.667,0.2217,0.1773,0.2926,0.3131
81,2.7,0.2142,0.1758,0.2984,0.3121
82,2.733,0.2009,0.1627,0.2981,0.3111
